"code","model","name","cost","cost_ewew","warranty"
82631,"ARTWORK 31","Швейна машина Brother ARTWORK 31",159.1,155.9,12
81816,"HQ-17","Швейна машина Brother HQ-17",145.5,142.6,12
81815,"HQ-27","Швейна машина Brother HQ-27",159.1,155.9,12
81819,"HQ-33 (L-30)","Швейна машина Brother HQ-33 (L-30)",166.7,163.4,12
54845,"JS-20","Швейна машина Brother JS-20",99.5,97.55,12
54846,"JS-23","Швейна машина Brother JS-23",100.6,98.6,12
54848,"JS-50E","Швейна машина Brother JS-50E",229.1,224.6,12
81897,"JS-60E","Швейна машина Brother JS-60E",244.8,240,12
54849,"JS-70Е","Швейна машина Brother JS-70Е",295.7,289.9,12
88558,"JSL-18","Швейна машина Brother JSL-18",129.1,126.5,12
81898,"JSL-30","Швейна машина Brother JSL-30",140,137.2,12
81805,"L-15","Швейна машина Brother L-15",145.5,142.6,12
81803,"L-30","Швейна машина Brother L-30",166.7,163.4,12
81821,"LS-200","Швейна машина Brother LS-200",97.3,95.35,12
54850,"LS-2125","Швейна машина Brother LS-2125",101.7,99.7,12
54851,"LS-2150","Швейна машина Brother LS-2150",105.1,103,12
81820,"LS-300","Швейна машина Brother LS-300",99.5,97.55,12
81799,"ML-500","Швейна машина Brother ML-500",184.8,181.1,12
81797,"ML-600","Швейна машина Brother ML-600",242.7,237.9,12
81798,"ML-750","Швейна машина Brother ML-750",311.6,305.4,12
81899,"MODERN 21","Швейна машина Brother MODERN 21",143.3,140.4,12
81900,"MODERN 30A","Швейна машина Brother MODERN 30A",178.2,174.7,12
81901,"MODERN 39A","Швейна машина Brother MODERN 39A",186.9,183.2,12
54854,"MODERN 40E","Швейна машина Brother MODERN 40E",216.3,212,12
54855,"MODERN50E","Швейна машина Brother MODERN 50E",232.3,227.7,12
81794,"NV-300","Швейна машина Brother NV-300",426.4,418,12
54893,"NV-350SE","Швейна машина Brother NV-350SE",468.6,459.4,12
81792,"NV-500","Швейна машина Brother NV-500",568.2,557,12
81791,"NV-750E","Швейна машина Brother NV-750E",774.5,759.3,12
54898,"Prestige 200","Швейна машина Brother Prestige 200",171.1,167.7,12
81818,"PS-70","Швейна машина Brother PS-70",200.5,196.5,12
81813,"RS-20","Швейна машина Brother RS-20",155.8,152.7,12
81814,"RS-30","Швейна машина Brother RS-30",161.3,158.1,12
91070,"Star 1400","Швейна машина Brother Star 1400",96.2,94.3,12
81817,"Star 17","Швейна машина Brother Star 17",126.9,124.4,12
81808,"Star 25","Швейна машина Brother Star 25",153.6,150.5,12
81807,"Star 27s","Швейна машина Brother Star 27s",165.7,162.4,12
81806,"Star 37s","Швейна машина Brother Star 37s",179.4,175.8,12
81801,"Star 45","Швейна машина Brother Star 45",179.4,175.8,12
81800,"Star 55","Швейна машина Brother Star 55",190.2,186.4,12
74241,"Star 555","Швейна машина Brother Star 555",200.5,196.5,12
81796,"Star 65","Швейна машина Brother Star 65",195.1,191.2,12
81795,"Star 777","Швейна машина Brother Star 777",226.9,222.4,12
54907,"XL-2230","Швейна машина Brother XL-2230",120.2,117.8,12
81809,"XR-14","Швейна машина Brother XR-14",134.6,131.9,12
81811,"XR-17","Швейна машина Brother XR-17",153.6,150.5,12
81812,"XR-21","Швейна машина Brother XR-21",156.9,153.8,12
54913,"СOMFORT 10","Швейна машина Brother СOMFORT 10",121.4,119,12
54914,"СOMFORT 12","Швейна машина Brother СOMFORT 12",121.4,119,12
54915,"СOMFORT 15","Швейна машина Brother СOMFORT 15",132.4,129.8,12
67774,"СOMFORT 25A","Швейна машина Brother СOMFORT 25A",163.4,160.2,12
68833,"СOMFORT 35A","Швейна машина Brother СOMFORT 35A",179.4,175.8,12
74242,"Jam Lux","Швейна машина Jaguar Jam Lux",87.5,85.75,12
71259,"Mini B 2","Швейна машина Jaguar Mini B 2",87.5,85.75,12
80167,"PS 550","Швейна машина Jaguar PS 550",195.1,191.2,12
71262,"RX 180","Швейна машина Jaguar RX 180",109.5,107.3,12
74243,"RX 250","Швейна машина Jaguar RX 250",123.6,121.1,12
80165,"RX 270","Швейна машина Jaguar RX 270",132.4,129.8,12
81784,"RX 270 S","Швейна машина Jaguar RX 270 S",148.8,145.8,12
80166,"RX 390","Швейна машина Jaguar RX 390",145.5,142.6,12
80169,"Sweet Present","Швейна машина Jaguar Sweet Present",81.2,79.6,12
71263,"VX 9","Швейна машина Jaguar VX 9",121.4,119,12
88556,"18 e","Швейна машина Janome 18 e",109.5,107.3,12
88555,"23 e","Швейна машина Janome 23 e",146.6,143.7,12
54927,"406i Stule","Швейна машина Janome 406i Stule",109.5,107.3,12
54928,"412i Stule","Швейна машина Janome 412i Stule",121.4,119,12
45320,"5519 New (419S)","Швейна машина Janome 5519 New (419S)",165.7,162.4,12
54932,"5522 New (423S)","Швейна машина Janome 5522 New (423S)",167.8,164.5,12
54939,"DC 50","Швейна машина Janome DC 50",279.6,274.1,12
71265,"LW 10","Швейна машина Janome LW 10",108.4,106.2,12
71266,"LW 20","Швейна машина Janome LW 20",119.1,116.7,12
71267,"LW 30","Швейна машина Janome LW 30",137.7,135,12
91072,"MC 1530","Швейна машина Janome MC 1530",255.7,250.6,12
54949,"ME 1221 (18W)","Швейна машина Janome ME 1221 (18W)",197.2,193.3,12
54951,"ML 205 D","Швейна машина Janome ML 205 D",192.4,188.6,12
80164,"PS 11","Швейна машина Janome PS 11",108.4,106.2,12
80163,"PS 19","Швейна машина Janome PS 19",119.1,116.7,12
71268,"PS 25","Швейна машина Janome PS 25",137.7,135,12
74245,"S 19","Швейна машина Janome S 19",106.9,104.8,12
74246,"S 24","Швейна машина Janome S 24",135.8,133.1,12
54959,"SE 522","Швейна машина Janome SE 522",184.8,181.1,12
91073,"T 34","Швейна машина Janome T 34",193.4,189.6,12
71269,"V 12","Швейна машина Janome V 12",105.1,103,12
71270,"V 14","Швейна машина Janome V 14",106.2,104.1,12
74247,"V 17","Швейна машина Janome V 17",125.8,123.3,12
54961,"VS 52","Швейна машина Janome VS 52",126.9,124.4,12
54973,"MO-644D","Швейна машина Juki MO-644D",306.2,300.2,12
54974,"MO-654D","Швейна машина Juki MO-654D",331,324.5,12
54975,"MO-735","Швейна машина Juki MO-735",562.9,551.8,12
54976,"VS 318","Швейна машина Leader VS 318",114.7,112.4,12
54978,"VS 330D","Швейна машина Leader VS 330D",204.9,200.8,12
54980,"VS 340D","Швейна машина Leader VS 340D",205.9,201.8,12
54981,"VS 350D","Швейна машина Leader VS 350D",205.9,201.8,12
54982,"VS 422А","Швейна машина Leader VS 422А",115.7,113.4,12
88551,"A 190","Швейна машина Minerva A 190",115.7,113.4,12
88550,"A 230","Швейна машина Minerva A 230",115.7,113.4,12
88548,"A 819 B","Швейна машина Minerva A 819 B",111.3,109.1,12
68437,"B 29","Швейна машина Minerva B 29",134.6,131.9,12
59653,"C 20 A","Швейна машина Minerva C 20 A",661.8,648.8,12
74237,"KID","Швейна машина Minerva KID",71.25,69.85,12
59656,"M 21 K","Швейна машина Minerva M 21 K",125.8,123.3,12
68449,"M 230","Швейна машина Minerva M 230",115.7,113.4,12
68441,"M 3040","Швейна машина Minerva M 3040",274.7,269.3,12
62669,"M 640 DS","Швейна машина Minerva M 640 DS",200.5,196.5,12
62670,"M 740 DS","Швейна машина Minerva M 740 DS",211.3,207.1,12
68440,"M 840 DS","Швейна машина Minerva M 840 DS",192.4,188.6,12
68442,"MC 100","Швейна машина Minerva MC 100",306.2,300.2,12
62678,"MC 120","Швейна машина Minerva MC 120",248.1,243.2,12
62679,"MC 197","Швейна машина Minerva MC 197",274.7,269.3,12
68443,"MC 200","Швейна машина Minerva MC 200",348.2,341.3,12
88546,"MC 250 C","Швейна машина Minerva MC 250 C",285,279.4,12
62685,"MC 370","Швейна машина Minerva MC 370",370,362.7,12
62684,"MC 40","Швейна машина Minerva MC 40",200.5,196.5,12
62672,"MC 440 E","Швейна машина Minerva MC 440 E",645.9,633.2,12
62681,"MC 500","Швейна машина Minerva MC 500",390.6,382.9,12
88545,"MC 60 С","Швейна машина Minerva MC 60 С",253.4,248.4,12
62680,"MC 80","Швейна машина Minerva MC 80",221.7,217.3,12
62673,"MC 8300","Швейна машина Minerva MC 8300",385.3,377.7,12
88544,"MC 90 С","Швейна машина Minerva MC 90 С",269.3,264,12
80162,1408,"Швейна машина Singer 1408",101.5,99.5,12
74249,"1507 SMART","Швейна машина Singer 1507 SMART",98.3,96.35,12
74250,8280,"Швейна машина Singer 8280",97.2,95.25,12
74251,"Talent 3321","Швейна машина Singer Talent 3321",148.6,145.6,12
74252,"Tradition 2250","Швейна машина Singer Tradition 2250",101.7,99.7,12
74253,"Tradition 2259","Швейна машина Singer Tradition 2259",134.6,131.9,12
74254,"Tradition 2263","Швейна машина Singer Tradition 2263",149.9,146.9,12
88543,"Tradition 2273","Швейна машина Singer Tradition 2273",162.3,159.1,12
59660,"21 DES","Швейна машина Toyota 21 DES",134.6,131.9,36
59661,3314,"Швейна машина Toyota 3314",226.9,222.4,36
68445,3335,"Швейна машина Toyota 3335",237.3,232.6,36
68446,3487,"Швейна машина Toyota 3487",242.7,237.9,36
59662,"715 RU","Швейна машина Toyota 715 RU",160.2,157,36
59663,"716 RU","Швейна машина Toyota 716 RU",192.4,188.6,36
88542,"ECO 15 A","Швейна машина Toyota ECO 15 A",141.1,138.3,36
59664,"ECO 15 CB","Швейна машина Toyota ECO 15 CB",132.4,129.8,36
88541,"ECO 15 CJ","Швейна машина Toyota ECO 15 CJ",142.2,139.4,36
59665,"ECO 26 A","Швейна машина Toyota ECO 26 A",177.1,173.6,36
68447,"ECO 34 A","Швейна машина Toyota ECO 34 A",181.5,177.9,36
59666,"ESG 325","Швейна машина Toyota ESG 325",182.6,179,36
59667,"ESS 224","Швейна машина Toyota ESS 224",157.9,154.8,36
59668,"FSL 18","Швейна машина Toyota FSL 18",122.4,120,36
88540,"JFS 18","Швейна машина Toyota JFS 18",125.8,123.3,36
54991,"JS 121 JEANS","Швейна машина Toyota JS 121 JEANS",133.5,130.8,36
59670," JSA 21 JEANS","Швейна машина Toyota JSA 21 JEANS",136.8,134.1,36
88539,"JSB A21","Швейна машина Toyota JSB A21",136.8,134.1,36
59671,"Qvilt 50","Швейна машина Toyota Qvilt 50",169,165.6,36
62676,"RA 224","Швейна машина Toyota RA 224",166.7,163.4,36
59673,"SPA 26","Швейна машина Toyota SPA 26",169,165.6,36
59675,"Super Jeans 15","Швейна машина Toyota Super Jeans 15",200.5,196.5,36
25447,"TS-1339R","Автоакустика Pioneer TS-1339R",39.54,38.76,12
69926,"TS-A6923I","Автоакустика Pioneer TS-A6923I",56.65,55.5,12
69927,"TS-A6924I","Автоакустика Pioneer TS-A6924I",77.75,76.2,12
78826,"TS-A6965","Автоакустика Pioneer TS-A6965",54.05,52.95,12
82229,"TS-F1634R","Автоакустика Pioneer TS-F1634R",29.87,29.28,12
64195,"TS-G1014R","Автоакустика Pioneer TS-G1014R",22.49,22.05,12
69925,"TS-G1023I","Автоакустика Pioneer TS-G1023I",31.76,31.14,12
78827,"TS-G1614R","Автоакустика Pioneer TS-G1614R",28.64,28.08,12
84028,"TS-G1644R","Автоакустика Pioneer TS-G1644R",36.21,35.5,12
64206,"XS-F1735R","Автоакустика Sony XS-F1735R",41.79,40.97,12
82232,"XS-GT1028F","Автоакустика Sony XS-GT1028F",29.25,28.68,12
80771,"XS-GT1320R","Автоакустика Sony XS-GT1320R",27.04,26.51,12
90744,"XS-GT1328F","Автоакустика Sony XS-GT1328F",33.86,33.2,12
90743,"XS-GT1720R","Автоакустика Sony XS-GT1720R",35.06,34.37,12
91960,"XS-GT1738F","Автоакустика Sony XS-GT1738F",45.86,44.96,12
61278,"SJ-520","Автоакустика Supra SJ-520",17.22,16.88,12
61279,"SJ-530","Автоакустика Supra SJ-530",17.22,16.88,12
55160,"TBS-693","Автоакустика Supra TBS-693",50.85,49.84,12
91949,"DCA-012B","Автоаудіосистема Digital DCA-012B",29.97,29.38,12
91951,"DCA-012R","Автоаудіосистема Digital DCA-012R",29.97,29.38,12
71013,"DCA-050G","Автоаудіосистема Digital DCA-050G",33.27,32.62,12
71015,"DCA-050W","Автоаудіосистема Digital DCA-050W",33.27,32.62,12
71019,"DCA-052B","Автоаудіосистема Digital DCA-052B",34.47,33.79,12
71020,"DCA-052G","Автоаудіосистема Digital DCA-052G",34.47,33.79,12
71024,"DCA-053R","Автоаудіосистема Digital DCA-053R",34.47,33.79,12
71025,"DCA-053W","Автоаудіосистема Digital DCA-053W",34.47,33.79,12
71027,"DCA-054G","Автоаудіосистема Digital DCA-054G",32.09,31.46,12
51261,"DCA-110G","Автоаудіосистема Digital DCA-110G",35.04,34.35,12
52354,"DCA-110R","Автоаудіосистема Digital DCA-110R",35.04,34.35,12
91953,"DCA-110W","Автоаудіосистема Digital DCA-110W",35.04,34.35,12
71035,"DCA-114G","Автоаудіосистема Digital DCA-114G",37.21,36.48,12
71036,"DCA-114R","Автоаудіосистема Digital DCA-114R",37.21,36.48,12
91954,"DCA-115G","Автоаудіосистема Digital DCA-115G",37.21,36.48,12
71039,"DCA-115R","Автоаудіосистема Digital DCA-115R",37.21,36.48,12
71040,"DCA-115W","Автоаудіосистема Digital DCA-115W",37.21,36.48,12
71041,"DCA-301B","Автоаудіосистема Digital DCA-301B",62.05,60.8,12
71042,"DCA-301R","Автоаудіосистема Digital DCA-301R",62.05,60.8,12
71043,"DCA-302B","Автоаудіосистема Digital DCA-302B",61.75,60.5,12
71044,"DCA-302R","Автоаудіосистема Digital DCA-302R",62.05,60.8,12
71045,"DCA-350B","Автоаудіосистема Digital DCA-350B",66.1,64.8,12
71046,"DCA-350R","Автоаудіосистема Digital DCA-350R",66.1,64.8,12
71047,"DCA-351B","Автоаудіосистема Digital DCA-351B",66.1,64.8,12
71048,"DCA-351R","Автоаудіосистема Digital DCA-351R",66.1,64.8,12
91955,"DCA-601R","Автоаудіосистема Digital DCA-601R",179.4,175.8,12
71050,"DCA-701G","Автоаудіосистема Digital DCA-701G",132.4,129.8,12
91956,"DCA-731B","Автоаудіосистема Digital DCA-731B",136.8,134.1,12
91957,"DCA-731R","Автоаудіосистема Digital DCA-731R",137.7,135,12
55197,"MAR-919U","Автоаудіосистема Mystery MAR-919U",38.37,37.62,12
64191,"DEH-1500UBВ","Автоаудіосистема Pioneer DEH-1500UBВ",70.15,68.75,12
90740,"DEH-1600UB","Автоаудіосистема Pioneer DEH-1600UB",74,72.55,12
90741,"DEH-1600UBA","Автоаудіосистема Pioneer DEH-1600UBA",74,72.55,12
90742,"DEH-1600UBG","Автоаудіосистема Pioneer DEH-1600UBG",74,72.55,12
73859,"DEH-2500UI","Автоаудіосистема Pioneer DEH-2500UI",72.95,71.5,12
69905,"DEH-4500BT","Автоаудіосистема Pioneer DEH-4500BT",116.8,114.5,12
90287,"DEH-X3600UI","Автоаудіосистема Pioneer DEH-X3600UI",107.2,105.1,12
69919,"MVH-150UB","Автоаудіосистема Pioneer MVH-150UB",54.6,53.5,12
49551,"NVH-1400VB","Автоаудіосистема Pioneer NVH-1400VB",143.2,140.3,12
80766,"CDX-GT470UE","Автоаудіосистема Sony CDX-GT470UE",86.75,85.05,12
80767,"CDX-GT470UM","Автоаудіосистема Sony CDX-GT470UM",86.75,85.05,12
80769,"CDX-GT475ER","Автоаудіосистема Sony CDX-GT475ER",90.65,88.85,12
80770,"CDX-GT475UR","Автоаудіосистема Sony CDX-GT475UR",90.65,88.85,12
55227,"CDX-GT550UI","Автоаудіосистема Sony CDX-GT550UI",130.2,127.6,12
84342,"CDX-GT560US","Автоаудіосистема Sony CDX-GT560US",106.7,104.6,12
84341,"CDX-GT570UE","Автоаудіосистема Sony CDX-GT570UE",110.2,108,12
76478,"CDX-GT570UI","Автоаудіосистема Sony CDX-GT570UI",110.2,108,12
91958,"CDX-GT574UI","Автоаудіосистема Sony CDX-GT574UI",114.7,112.4,12
91959,"CDX-GT575UE","Автоаудіосистема Sony CDX-GT575UE",121.4,119,12
82227,"DSX-A30Е","Автоаудіосистема Sony DSX-A30Е",62.05,60.8,12
55232,"SCD-401U","Автоаудіосистема Supra SCD-401U",58.35,57.2,12
55233,"SCD-402U","Автоаудіосистема Supra SCD-402U",58.35,57.2,12
55234,"SCD-403U","Автоаудіосистема Supra SCD-403U",58.35,57.2,12
55236,"SCD-503U","Автоаудіосистема Supra SCD-503U",62.05,60.8,12
55237,"SCD-505U","Автоаудіосистема Supra SCD-505U",62.05,60.8,12
